 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Gregory Campbell,BOS,78,8,8,16,-3,80,107,53,344,334,0.507,0,0,0,0,0,74,0.108
 Andy Greene,NJD,56,1,15,16,3,16,35,96,0,0,N/A,0,1,0,0,0,53,0.019
 Jeff Halpern,MON,69,4,12,16,-1,24,55,44,365,260,0.584,0,0,0,0,1,63,0.063
 Travis Moen,MON,48,9,7,16,-3,41,75,41,5,7,0.417,0,0,1,0,0,45,0.2
 Eric Belanger,EDM,78,4,12,16,-13,32,36,41,557,450,0.553,1,4,1,0,0,118,0.034
 Josh Gorges,MON,82,2,14,16,14,39,131,250,0,0,N/A,0,0,0,0,1,59,0.034
 Roman Josi,NAS,52,5,11,16,1,14,33,98,0,0,N/A,1,3,0,0,0,64,0.078
 Bobby Butler,FLA,56,6,10,16,8,12,34,13,3,0,1,0,0,0,0,4,86,0.07
 Kyle Chipchura,PHO,53,3,13,16,2,42,67,14,174,190,0.478,0,0,0,0,0,43,0.07
 Aaron Johnson,NYR,56,3,13,16,-12,26,99,72,0,0,N/A,1,1,0,0,0,63,0.048
 John Mitchell,COL,63,5,11,16,10,8,89,27,103,96,0.518,0,2,0,0,0,64,0.078
 Mike Weaver,FLA,82,0,16,16,-2,14,114,137,0,0,N/A,0,0,0,1,0,51,0
 Raphael Diaz,MON,59,3,13,16,-7,30,40,102,1,1,0.5,0,4,0,2,1,61,0.049
 Brian Lee,TAM,55,1,15,16,-8,35,127,62,0,0,N/A,0,0,0,0,0,32,0.031
 Brian Gionta,MON,31,8,7,15,-7,16,35,13,14,19,0.424,2,1,0,0,0,75,0.107
 Matt Greene,LOS,82,4,11,15,4,58,241,112,0,0,N/A,0,0,0,1,2,76,0.053
 Tom Wandell,DAL,72,6,9,15,-5,16,52,30,141,183,0.435,0,0,0,0,0,103,0.058
 Daniel Paille,BOS,69,9,6,15,-5,15,59,24,2,5,0.286,0,0,2,0,1,86,0.105
 Blake Comeau,COB,74,5,10,15,-11,30,144,22,29,62,0.319,0,0,0,0,0,137,0.037
 Michael Frolik,WPG,63,5,10,15,-10,22,56,32,16,32,0.333,0,0,0,1,0,117,0.043
 Niklas Hjalmarsson,CHI,69,1,14,15,9,14,42,142,0,0,N/A,0,0,0,1,0,65,0.015
 Marc-Andre Gragnani,CAR,58,2,13,15,6,26,19,41,1,0,1,1,6,0,0,0,47,0.043
 Ladislav Smid,EDM,78,5,10,15,4,44,186,184,0,0,N/A,0,0,0,1,0,47,0.106
 Matt Frattin,LOS,56,8,7,15,-4,25,81,12,2,6,0.25,0,1,0,0,2,92,0.087
 Johnny Boychuk,BOS,77,5,10,15,27,53,145,133,0,0,N/A,0,0,0,0,2,171,0.029
 Brett Connolly,TAM,68,4,11,15,-9,30,58,19,20,32,0.385,1,2,0,0,2,94,0.043
 Jaroslav Spacek,CAR,46,5,10,15,6,8,29,68,0,0,N/A,3,2,0,0,1,42,0.119
 T.J. Galiardi,CGY,69,9,6,15,-8,53,110,22,75,92,0.449,0,0,1,0,2,113,0.08
 Brett Clark,FLA,82,2,13,15,-26,20,118,199,0,0,N/A,0,2,0,0,0,61,0.033
 Nate Thompson,TAM,68,9,6,15,-23,21,107,56,293,299,0.495,0,0,0,0,1,85,0.106
 Chris Butler,CGY,68,2,13,15,-9,34,70,115,0,0,N/A,0,3,0,0,0,62,0.032
 Jordan Caron,BOS,48,7,8,15,0,14,64,15,1,1,0.5,0,0,0,0,0,57,0.123
 Pavel Kubina,PHI,69,3,12,15,-2,74,130,119,0,0,N/A,0,0,0,0,1,75,0.04
 Jamal Mayers,CHI,81,6,9,15,-4,91,102,25,313,245,0.561,0,1,0,0,1,70,0.086
 Matt Beleskey,ANA,70,4,11,15,-2,72,104,20,11,15,0.423,0,1,0,0,0,75,0.053
 Gilbert Brule,PHO,33,5,9,14,7,11,55,13,8,13,0.381,1,0,0,0,0,56,0.089
 Derek MacKenzie,COB,66,7,7,14,4,40,189,19,234,195,0.545,1,0,2,1,2,61,0.115
 Mark Stuart,WPG,80,3,11,14,-4,98,198,182,0,0,N/A,0,0,1,0,1,60,0.05
 Matt Martin,NYI,80,7,7,14,-17,121,374,41,10,13,0.435,0,0,0,2,1,130,0.054
 T.J. Brodie,CGY,54,2,12,14,3,14,43,38,0,0,N/A,1,5,0,0,2,44,0.045
 Cam Atkinson,COB,27,7,7,14,1,14,23,17,0,1,0,1,1,0,0,0,66,0.106
 Joe Vitale,PIT,68,4,10,14,-5,56,106,36,403,320,0.557,0,0,0,1,1,70,0.057
 Steve Montador,CHI,52,5,9,14,4,45,49,46,0,0,N/A,2,4,0,0,1,57,0.088
 Sheldon Brookbank,CHI,80,3,11,14,11,72,120,110,0,0,N/A,0,0,0,1,1,49,0.061
 Kurtis Foster,PHI,51,4,10,14,-13,35,46,35,0,0,N/A,2,9,0,0,0,85,0.047
